timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,frontend_running,frontend_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused
2025-04-28T12:13:35.013971,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:13:50.145594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-04-28T12:14:05.271009,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:14:20.426104,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:14:35.555837,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:14:50.684674,0,2,1,1,0,2,1,1,1,1,0,2,1,1,0,2,1,1,0,2
2025-04-28T12:15:05.810178,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:15:21.019075,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:15:36.141530,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:15:51.265242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-04-28T12:16:06.390711,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:16:21.553299,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:16:36.683806,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:17:00.426006,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:17:15.636222,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:17:30.771708,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:17:45.893861,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:18:01.021080,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2025-04-28T12:18:16.180707,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
